[2026-01-15T17:15:49.051Z] [SESSION] [NativeLoader] ✓ SUCCÈS: screenshot-desktop chargé via createRequire
[2026-01-15T17:15:49.087Z] [SESSION] [NativeLoader] ✓ SUCCÈS: robotjs chargé depuis unpacked
[2026-01-15T17:15:49.156Z] [SESSION] [NativeLoader] ✓ SUCCÈS: node-window-manager chargé depuis unpacked
[2026-01-15T17:15:49.207Z] [SESSION] [[DB]] ✅ Connexion PostgreSQL réussie
[2026-01-15T17:15:49.233Z] [SESSION] [[DB]] ✅ Tables disponibles: | DATA: {"count":10,"tables":["users","bot_sessions","poker_tables","hand_histories","humanizer_config","gto_config","platform_config","action_logs","bot_stats","player_profile_state"]}
[2026-01-15T17:16:09.607Z] [SESSION] [SessionManager] 🚀 Démarrage session demandé
[2026-01-15T17:16:09.648Z] [SESSION] [[Storage]] ✅ Session bot créée | DATA: {"sessionId":"39d0adb2-4d37-437e-8281-cd9e86e9d863","status":"running"}
[2026-01-15T17:16:09.648Z] [SESSION] [SessionManager] ✅ Session créée | DATA: {"sessionId":"39d0adb2-4d37-437e-8281-cd9e86e9d863"}
[2026-01-15T17:16:09.654Z] [SESSION] [SessionManager] 🔌 Initialisation PlatformManager | DATA: {"platform":"ggclub"}
[2026-01-15T17:16:09.655Z] [SESSION] [PlatformManager] Tentative de connexion | DATA: {"platform":"ggclub","username":"Danny3000"}
[2026-01-15T17:16:09.667Z] [SESSION] [GGClubAdapter] ✅ BOT CONNECTÉ ET PRÊT | DATA: {"status":"connected","platform":"GGClub"}
[2026-01-15T17:16:09.668Z] [SESSION] [PlatformManager] ✅ CONNECTÉ à ggclub | DATA: {"username":"Danny3000"}
[2026-01-15T17:16:09.687Z] [SESSION] [GGClubAdapter] 🎰 2 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot (1) - Replit - Google Chrome"}]}
[2026-01-15T17:16:09.694Z] [SESSION] [SessionManager] ✅ PlatformManager initialisé avec succès
[2026-01-15T17:16:11.821Z] [SESSION] [GGClubAdapter] 🎰 2 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot (1) - Replit - Google Chrome"}]}
[2026-01-15T17:16:13.885Z] [SESSION] [GGClubAdapter] 🎰 2 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot (1) - Replit - Google Chrome"}]}
[2026-01-15T17:16:14.686Z] [SESSION] [GGClubAdapter] 🎰 2 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot (1) - Replit - Google Chrome"}]}
[2026-01-15T17:16:15.897Z] [SESSION] [GGClubAdapter] 🎰 2 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot (1) - Replit - Google Chrome"}]}
