[2026-01-14T17:58:55.592Z] [SESSION] [NativeLoader] ✓ SUCCÈS: screenshot-desktop chargé via createRequire
[2026-01-14T17:58:55.628Z] [SESSION] [NativeLoader] ✓ SUCCÈS: robotjs chargé depuis unpacked
[2026-01-14T17:58:55.698Z] [SESSION] [NativeLoader] ✓ SUCCÈS: node-window-manager chargé depuis unpacked
[2026-01-14T17:58:55.736Z] [SESSION] [[DB]] ✅ Connexion PostgreSQL réussie
[2026-01-14T17:58:55.744Z] [SESSION] [[DB]] ✅ Tables disponibles: | DATA: {"count":10,"tables":["users","bot_sessions","poker_tables","hand_histories","humanizer_config","gto_config","platform_config","action_logs","bot_stats","player_profile_state"]}
[2026-01-14T17:59:16.259Z] [SESSION] [SessionManager] 🚀 Démarrage session demandé
[2026-01-14T17:59:16.298Z] [SESSION] [[Storage]] ✅ Session bot créée | DATA: {"sessionId":"eb2634e0-8350-4f3e-9fba-63a29bf862c8","status":"running"}
[2026-01-14T17:59:16.299Z] [SESSION] [SessionManager] ✅ Session créée | DATA: {"sessionId":"eb2634e0-8350-4f3e-9fba-63a29bf862c8"}
[2026-01-14T17:59:16.305Z] [SESSION] [SessionManager] 🔌 Initialisation PlatformManager | DATA: {"platform":"ggclub"}
[2026-01-14T17:59:16.305Z] [SESSION] [PlatformManager] Tentative de connexion | DATA: {"platform":"ggclub","username":"Danny3000"}
[2026-01-14T17:59:16.317Z] [SESSION] [GGClubAdapter] ✅ BOT CONNECTÉ ET PRÊT | DATA: {"status":"connected","platform":"GGClub"}
[2026-01-14T17:59:16.317Z] [SESSION] [PlatformManager] ✅ CONNECTÉ à ggclub | DATA: {"username":"Danny3000"}
[2026-01-14T17:59:16.342Z] [SESSION] [SessionManager] ✅ PlatformManager initialisé avec succès
[2026-01-14T17:59:16.350Z] [SESSION] [[Storage]] ✅ Session active trouvée | DATA: {"sessionId":"eb2634e0-8350-4f3e-9fba-63a29bf862c8","startedAt":"2026-01-14T17:59:16.296Z"}
[2026-01-14T17:59:16.385Z] [SESSION] [[Storage]] ✅ Session active trouvée | DATA: {"sessionId":"eb2634e0-8350-4f3e-9fba-63a29bf862c8","startedAt":"2026-01-14T17:59:16.296Z"}
[2026-01-14T17:59:16.398Z] [SESSION] [[Storage]] ✅ Session active trouvée | DATA: {"sessionId":"eb2634e0-8350-4f3e-9fba-63a29bf862c8","startedAt":"2026-01-14T17:59:16.296Z"}
[2026-01-14T17:59:16.411Z] [SESSION] [[Storage]] ✅ Session active trouvée | DATA: {"sessionId":"eb2634e0-8350-4f3e-9fba-63a29bf862c8","startedAt":"2026-01-14T17:59:16.296Z"}
[2026-01-14T17:59:16.415Z] [SESSION] [[Storage]] ✅ Session active trouvée | DATA: {"sessionId":"eb2634e0-8350-4f3e-9fba-63a29bf862c8","startedAt":"2026-01-14T17:59:16.296Z"}
