[2026-01-15T14:14:09.722Z] [SESSION] [NativeLoader] ✓ SUCCÈS: screenshot-desktop chargé via createRequire
[2026-01-15T14:14:09.794Z] [SESSION] [NativeLoader] ✓ SUCCÈS: robotjs chargé depuis unpacked
[2026-01-15T14:14:09.937Z] [SESSION] [NativeLoader] ✓ SUCCÈS: node-window-manager chargé depuis unpacked
[2026-01-15T14:14:10.066Z] [SESSION] [[DB]] ✅ Connexion PostgreSQL réussie
[2026-01-15T14:14:10.111Z] [SESSION] [[DB]] ✅ Tables disponibles: | DATA: {"count":10,"tables":["users","bot_sessions","poker_tables","hand_histories","humanizer_config","gto_config","platform_config","action_logs","bot_stats","player_profile_state"]}
[2026-01-15T14:14:15.095Z] [SESSION] [SessionManager] 🚀 Démarrage session demandé
[2026-01-15T14:14:15.103Z] [SESSION] [[Storage]] ✅ Session bot créée | DATA: {"sessionId":"c3051892-ab2a-4402-9919-20d1c07de8b1","status":"running"}
[2026-01-15T14:14:15.104Z] [SESSION] [SessionManager] ✅ Session créée | DATA: {"sessionId":"c3051892-ab2a-4402-9919-20d1c07de8b1"}
[2026-01-15T14:14:15.115Z] [SESSION] [SessionManager] 🔌 Initialisation PlatformManager | DATA: {"platform":"ggclub"}
[2026-01-15T14:14:15.116Z] [SESSION] [PlatformManager] Tentative de connexion | DATA: {"platform":"ggclub","username":"Danny3000"}
[2026-01-15T14:14:15.131Z] [SESSION] [GGClubAdapter] ✅ BOT CONNECTÉ ET PRÊT | DATA: {"status":"connected","platform":"GGClub"}
[2026-01-15T14:14:15.132Z] [SESSION] [PlatformManager] ✅ CONNECTÉ à ggclub | DATA: {"username":"Danny3000"}
[2026-01-15T14:14:15.157Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"GTO-Poker-Bot-Windows (11) : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T14:14:15.169Z] [SESSION] [SessionManager] ✅ PlatformManager initialisé avec succès
[2026-01-15T14:14:17.384Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"GTO-Poker-Bot-Windows (11) : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T14:14:19.383Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"GTO-Poker-Bot-Windows (11) : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T14:14:20.190Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"GTO-Poker-Bot-Windows (11) : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T14:14:21.938Z] [SESSION] [GGClubAdapter] 🎰 4 table(s) de poker active(s) | DATA: {"tables":[{"title":"PokerWizardBot - Replit - Google Chrome"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"GTO-Poker-Bot-Windows (11) : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T14:14:23.948Z] [SESSION] [GGClubAdapter] 🎰 4 table(s) de poker active(s) | DATA: {"tables":[{"title":"PokerWizardBot - Replit - Google Chrome"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"GTO-Poker-Bot-Windows (11) : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T14:14:25.202Z] [SESSION] [GGClubAdapter] 🎰 4 table(s) de poker active(s) | DATA: {"tables":[{"title":"PokerWizardBot - Replit - Google Chrome"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"GTO-Poker-Bot-Windows (11) : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T14:14:25.951Z] [SESSION] [GGClubAdapter] 🎰 4 table(s) de poker active(s) | DATA: {"tables":[{"title":"PokerWizardBot - Replit - Google Chrome"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"GTO-Poker-Bot-Windows (11) : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T14:14:27.958Z] [SESSION] [GGClubAdapter] 🎰 4 table(s) de poker active(s) | DATA: {"tables":[{"title":"PokerWizardBot - Replit - Google Chrome"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"GTO-Poker-Bot-Windows (11) : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T14:14:29.954Z] [SESSION] [GGClubAdapter] 🎰 4 table(s) de poker active(s) | DATA: {"tables":[{"title":"PokerWizardBot - Replit - Google Chrome"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"GTO-Poker-Bot-Windows (11) : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T14:14:30.234Z] [SESSION] [GGClubAdapter] 🎰 4 table(s) de poker active(s) | DATA: {"tables":[{"title":"PokerWizardBot - Replit - Google Chrome"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"GTO-Poker-Bot-Windows (11) : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T14:14:31.998Z] [SESSION] [GGClubAdapter] 🎰 4 table(s) de poker active(s) | DATA: {"tables":[{"title":"PokerWizardBot - Replit - Google Chrome"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"GTO-Poker-Bot-Windows (11) : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T14:14:33.993Z] [SESSION] [GGClubAdapter] 🎰 4 table(s) de poker active(s) | DATA: {"tables":[{"title":"PokerWizardBot - Replit - Google Chrome"},{"title":"PokerWizardBot - Replit - Google Chrome"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"GTO-Poker-Bot-Windows (11) : Explorateur de fichiers"}]}
[2026-01-15T14:14:35.243Z] [SESSION] [GGClubAdapter] 🎰 4 table(s) de poker active(s) | DATA: {"tables":[{"title":"PokerWizardBot - Replit - Google Chrome"},{"title":"PokerWizardBot - Replit - Google Chrome"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"GTO-Poker-Bot-Windows (11) : Explorateur de fichiers"}]}
[2026-01-15T14:14:36.003Z] [SESSION] [GGClubAdapter] 🎰 4 table(s) de poker active(s) | DATA: {"tables":[{"title":"PokerWizardBot - Replit - Google Chrome"},{"title":"PokerWizardBot - Replit - Google Chrome"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"GTO-Poker-Bot-Windows (11) : Explorateur de fichiers"}]}
[2026-01-15T14:14:38.022Z] [SESSION] [GGClubAdapter] 🎰 4 table(s) de poker active(s) | DATA: {"tables":[{"title":"PokerWizardBot - Replit - Google Chrome"},{"title":"PokerWizardBot - Replit - Google Chrome"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"GTO-Poker-Bot-Windows (11) : Explorateur de fichiers"}]}
