[2026-01-15T13:46:29.327Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:31.315Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:33.323Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:34.362Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:35.538Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:37.773Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:39.372Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:40.028Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:42.036Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:44.208Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:44.635Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:46.216Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:48.315Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:49.656Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:50.451Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:52.484Z] [SESSION] [GGClubAdapter] 🎰 3 table(s) de poker active(s) | DATA: {"tables":[{"title":"GTO-Poker-Bot-Windows (10) : Explorateur de fichiers"},{"title":"GTO Poker Bot : Explorateur de fichiers"},{"title":"PokerWizardBot - Replit - Google Chrome"}]}
[2026-01-15T13:46:53.640Z] [SESSION] [SessionManager] 🔌 PlatformManager arrêté
[2026-01-15T13:46:53.656Z] [SESSION] [SessionManager] ✅ Session arrêtée | DATA: {"sessionId":"59cb2908-c906-4ea2-99bd-18efa2ad5512"}
